Date,Channel,Installs
2014/5/5,Channel_01,1217
2014/5/5,Channel_03,54
2014/5/6,Channel_05,28
2014/5/6,Channel_09,14
2014/5/6,Channel_08,62
2014/5/6,Channel_15,28
2014/5/6,Channel_16,474
2014/5/6,Channel_10,79
2014/5/6,Channel_01,1271
2014/5/6,Channel_03,34
2014/5/7,Channel_05,24
2014/5/7,Channel_09,27
2014/5/7,Channel_08,50
2014/5/7,Channel_15,29
2014/5/7,Channel_16,605
2014/5/7,Channel_10,93
2014/5/7,Channel_01,1366
2014/5/7,Channel_03,47
2014/5/8,Channel_05,56
2014/5/8,Channel_09,2
2014/5/8,Channel_08,41
2014/5/8,Channel_15,3
2014/5/8,Channel_16,568
2014/5/8,Channel_10,63
2014/5/8,Channel_01,1130
2014/5/8,Channel_03,37
2014/5/9,Channel_05,38
2014/5/9,Channel_15,13
2014/5/9,Channel_16,567
2014/5/9,Channel_10,44
2014/5/9,Channel_01,969
2014/5/9,Channel_03,33
2014/5/10,Channel_15,17
2014/5/10,Channel_16,601
2014/5/10,Channel_10,17
2014/5/10,Channel_01,1049
2014/5/10,Channel_03,11
2014/5/11,Channel_08,16
2014/5/11,Channel_15,30
2014/5/11,Channel_16,539
2014/5/11,Channel_10,41
2014/5/11,Channel_01,1155
2014/5/11,Channel_03,9
2014/5/12,Channel_05,20
2014/5/12,Channel_09,26
2014/5/12,Channel_15,36
2014/5/12,Channel_16,491
2014/5/12,Channel_10,15
2014/5/12,Channel_01,1021
2014/5/12,Channel_03,24
2014/5/13,Channel_05,0
2014/5/13,Channel_09,6
2014/5/13,Channel_15,49
2014/5/13,Channel_16,401
2014/5/13,Channel_10,37
2014/5/13,Channel_01,1015
2014/5/13,Channel_03,12
2014/5/14,Channel_18,13
2014/5/14,Channel_19,3
2014/5/14,Channel_09,19
2014/5/14,Channel_15,100
2014/5/14,Channel_16,368
2014/5/14,Channel_10,13
2014/5/14,Channel_01,869
2014/5/14,Channel_03,15
2014/5/15,Channel_18,20
2014/5/15,Channel_19,24
2014/5/15,Channel_09,10
2014/5/15,Channel_15,102
2014/5/15,Channel_16,358
2014/5/15,Channel_10,35
2014/5/15,Channel_01,1089
2014/5/15,Channel_03,9
2014/5/16,Channel_18,6
2014/5/16,Channel_19,23
2014/5/16,Channel_09,27
2014/5/16,Channel_15,80
2014/5/16,Channel_16,327
2014/5/16,Channel_10,72
2014/5/16,Channel_01,573
2014/5/16,Channel_03,13
2014/5/17,Channel_18,12
2014/5/17,Channel_19,14
2014/5/17,Channel_09,7
2014/5/17,Channel_15,87
2014/5/17,Channel_16,342
2014/5/17,Channel_10,70
2014/5/17,Channel_01,914
2014/5/17,Channel_03,25
2014/5/18,Channel_09,11
2014/5/18,Channel_15,61
2014/5/18,Channel_16,409
2014/5/18,Channel_10,81
2014/5/18,Channel_01,903
2014/5/18,Channel_03,32
2014/5/19,Channel_19,4
2014/5/19,Channel_09,23
2014/5/19,Channel_15,63
2014/5/19,Channel_16,411
2014/5/19,Channel_10,63
2014/5/19,Channel_01,746
2014/5/19,Channel_03,10
2014/5/20,Channel_15,73
2014/5/20,Channel_16,363
2014/5/20,Channel_10,53
2014/5/20,Channel_01,764
2014/5/20,Channel_03,31
2014/5/21,Channel_19,1
2014/5/21,Channel_09,22
2014/5/21,Channel_15,130
2014/5/21,Channel_16,344
2014/5/21,Channel_10,117
2014/5/21,Channel_01,856
2014/5/21,Channel_03,8
2014/5/22,Channel_09,28
2014/5/22,Channel_15,152
2014/5/22,Channel_16,343
2014/5/22,Channel_10,89
2014/5/22,Channel_01,691
2014/5/22,Channel_03,3
2014/5/23,Channel_09,6
2014/5/23,Channel_15,129
2014/5/23,Channel_16,276
2014/5/23,Channel_10,104
2014/5/23,Channel_01,794
2014/5/23,Channel_03,18
2014/5/24,Channel_09,11
